Site_ID,Lat,Lon,Total_Facilities,Diversity_Index,Facility_Types_List,Subtype_Diversity
1206366,50.94228,-2.306108,2,1,"5, 5",2
1206367,50.87809,-2.138356,2,1,"5, 5",2
1206368,50.84589,-2.239949,4,2,"5, 5, 5, 17",4
1206373,50.90359,-1.186598,1,1,6,1
1206374,52.02586,-0.7536102,6,3,"5, 5, 5, 6, 6, 17",6
1206375,50.85143,-1.233164,2,1,"6, 6",1
1206377,50.84473,-1.19123,2,1,"5, 5",1
1206383,52.04815,1.191096,3,3,"5, 12, 13",3
1206387,52.06858,1.211082,8,4,"5, 5, 6, 8, 8, 8, 17, 17",5
1206388,52.06627,1.184259,5,2,"5, 5, 5, 5, 6",5
1206389,52.03827,1.147717,6,1,"5, 5, 5, 5, 5, 5",6
1206390,51.77414,-0.5962521,2,2,"5, 17",2
1206391,52.07336,1.191083,3,1,"5, 5, 5",2
1206392,51.79516,-0.6508473,3,2,"5, 5, 17",3
1206393,52.16846,1.359311,1,1,6,1
1206394,52.15211,1.05189,2,2,"6, 17",2
1206396,54.65532,-1.187467,8,1,"5, 5, 5, 5, 5, 5, 5, 5",8
1206397,55.40334,-1.701141,1,1,5,1
1206398,55.40215,-1.698908,3,2,"2, 5, 5",2
1206399,55.37036,-1.687026,3,1,"5, 5, 5",3
1206402,55.47641,-1.681117,1,1,5,1
1206404,55.18233,-1.575047,1,1,5,1
1206405,55.18593,-1.589345,6,1,"5, 5, 5, 5, 5, 5",4
1206407,51.52443,0.4673553,5,3,"2, 5, 5, 5, 17",5
1206409,51.52172,0.2994784,5,2,"5, 5, 5, 5, 17",5
1206410,51.51348,0.4341126,5,2,"5, 5, 5, 5, 17",5
1206411,51.50461,0.2706183,7,1,"5, 5, 5, 5, 5, 5, 5",7
1206413,51.51481,0.4422605,2,1,"5, 5",2
1206414,51.49488,0.3490723,4,2,"5, 5, 5, 13",4
1206415,51.50897,0.3673382,2,1,"5, 5",2
1206416,54.8138,-1.445925,1,1,5,1
1206417,54.8411,-1.476409,1,1,5,1
1206418,54.86358,-1.483055,1,1,5,1
1206421,54.87746,-1.412028,1,1,5,1
1206423,54.93313,-1.395248,1,1,5,1
1206426,51.79702,-0.6409838,4,1,"5, 5, 5, 5",3
1206427,52.11427,1.331945,3,1,"5, 5, 5",3
1206428,52.06057,1.236715,8,5,"5, 5, 5, 5, 6, 8, 17, 20",8
1206429,51.97032,1.355202,6,2,"5, 5, 5, 5, 5, 17",5
1206430,51.73045,-2.144886,4,2,"5, 5, 17, 17",3
1206431,51.87115,-2.242305,2,2,"5, 8",2
1206432,52.10273,1.376143,3,1,"5, 5, 5",2
1206433,51.74607,-0.4958423,3,2,"2, 5, 5",2
1206434,51.78289,-2.203229,6,3,"5, 5, 5, 6, 17, 17",5
1206435,51.9048,-2.061325,3,1,"5, 5, 5",3
1206436,52.79571,0.434143,4,2,"5, 5, 5, 13",3
1206437,51.92342,-2.090789,3,1,"5, 5, 5",3
1206438,51.71554,-0.5388651,1,1,5,1
1206440,51.90311,-2.043688,4,1,"5, 5, 5, 5",4
1206441,51.88396,-2.07131,5,1,"5, 5, 5, 5, 5",5
1206442,51.90255,-2.108369,4,1,"5, 5, 5, 5",4
1206443,51.76856,-0.4528694,3,2,"5, 5, 8",2
1206445,51.87948,-2.08278,4,1,"5, 5, 5, 5",4
1206446,51.90883,-2.074214,1,1,5,1
1206447,51.87503,-2.295999,1,1,5,1
1206448,52.00011,-2.006301,1,1,5,1
1206450,51.87791,-2.182585,3,1,"5, 5, 5",3
1206451,50.79824,-1.160951,8,4,"5, 5, 5, 6, 6, 8, 8, 17",6
1206453,51.74658,-0.5023423,4,1,"5, 5, 5, 5",4
1206455,51.77789,-0.4576549,5,1,"5, 5, 5, 5, 5",5
1206456,51.93796,-2.064718,8,4,"5, 5, 5, 5, 5, 8, 17, 20",8
1206458,50.81686,-1.158009,3,1,"5, 5, 5",3
1206459,51.76213,-0.4460358,3,1,"5, 5, 5",3
1206460,51.93574,-0.01887653,1,1,5,1
