Site ID,Facility Subtype,Facility ID,Rinks,Dimensions Estimate,Length,Width,Area,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1010958,3002,2008859,4,0,35.1,18.0,632.0,3,,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,0,1,1,1,1,0,Plenty of space for parking but no designated spaces. Ramped entrance. Stairlift to first floor viewing and catering area.,1984,0,1,2014,1,1,2014,2,1,1,12,,,2025-08-06 08:27:32,1,415121,129696,51.06639,-1.785573,
1010959,3002,2008860,4,0,36.0,18.0,648.0,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,0,1,1,1,1,1,0,1,1,1,0,,1973,0,1,2009,1,1,2009,2,1,1,12,,,2025-06-03 10:59:38,1,514928,214237,51.81496,-0.334137,
1000023,3002,2008861,7,0,34.7,28.0,972.0,3,Chigwell Indoor Bowls Club,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,Parking: 10 bays,1992,0,1,2004,1,1,2014,2,1,1,12,,,2025-01-09 12:06:54,1,542894,194296,51.62934,0.06313322,
1000016,3002,2008862,7,0,36.0,33.6,1210.0,5,,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,2,,1992,0,1,2004,1,1,2012,2,1,1,12,2010-01-01,101,2023-10-26 16:03:33,1,534189,197434,51.65968,-0.06135222,
1010962,3002,2008863,4,0,35.1,16.8,590.0,5,,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,2,,1996,0,0,,1,0,,2,1,1,12,2018-01-01,101,2018-08-31 09:17:49,1,442561,420437,53.6787,-1.357142,
1010964,3002,2008865,6,0,36.6,36.6,1340.0,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,1981,0,1,2014,1,1,2014,2,1,1,12,,,2024-12-09 12:31:13,1,559251,146101,51.19194,0.2776399,
1010965,3002,2008866,6,0,36.5,29.5,1077.0,3,Summer Timings from 14:30 Till 17:30. ,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1988,0,1,2004,1,1,2006,2,1,1,12,,,2025-02-28 09:46:18,1,444694,297403,52.57264,-1.341954,
1010966,3002,2008867,7,0,36.5,33.2,1212.0,3,Summer opening times are Monday to Friday 09:00 - 22:30 ,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,2000,0,0,,1,0,,2,1,1,12,,,2025-10-30 12:39:36,1,388829,216089,51.8433,-2.163552,
1010967,3002,2008868,12,0,36.6,55.2,2020.0,3,,,,,Registered Membership use,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,0,1,0,,2000,0,1,2004,1,0,,2,1,1,12,,,2025-09-22 16:10:12,1,635974,151411,51.21313,1.377382,
1010968,3002,2008869,3,0,37.5,14.94,560.0,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,0,0,1,1,1,0,1,1,0,1,0,"Rinks Upstairs, No access to courts, entrance to club through back entrance",1939,0,1,2005,1,1,2015,2,1,1,12,,,2025-09-05 16:30:37,1,530153,191821,51.6102,-0.1217421,
