Site ID,Facility Type,Facility Subtype,Facility ID,Freestyle Features,Moguls,Tow,Slope Type,Surface Type,Artificial Sports Lighting,Skiable Length,Skiable Width,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1011597,11,11001,30018305,3,0,1,1,20,0,30.0,20.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2000,1,0,,1,0,,2,1,1,12,,,2025-01-14 14:50:33,1,251427,57378,50.39744,-4.09179,2019-04-08 12:35:03
1002925,11,11001,2009102,3,0,1,1,21,1,70.0,35.0,3,,GLL,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,1991,0,0,,1,0,,2,1,1,12,,,2025-04-16 10:50:47,1,523342,211738,51.79071,-0.2130262,
1002925,11,11001,2009103,3,0,1,3,21,1,160.0,20.0,3,,GLL,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,1991,0,0,,1,1,2008,2,1,1,12,,,2025-04-16 10:50:47,1,523342,211738,51.79071,-0.2130262,
1003924,11,11003,2009104,3,0,1,1,20,,20.0,8.0,3,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,1,0,1,0,,1963,0,1,1996,1,1,2014,2,1,1,12,,,2025-01-15 15:13:29,1,448832,102395,50.81905,-1.308152,
1003924,11,11003,2009106,2,0,1,1,20,,42.0,10.0,3,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,1,0,1,0,,1963,0,1,1996,1,1,2014,2,1,1,12,,,2025-01-15 15:13:29,1,448832,102395,50.81905,-1.308152,
1011581,11,11001,2009118,3,0,1,1,21,1,27.0,12.0,3,,,,,Pay and Play,Public Access,Sport Club,Others,1,0,1,0,1,0,1,0,0,0,0,,1969,0,1,2004,0,0,,2,1,1,12,,,2025-01-15 16:02:04,1,293070,93003,50.72676,-3.516369,
1011581,11,11001,2009119,3,0,1,2,21,1,80.0,25.0,3,,,,,Pay and Play,Public Access,Sport Club,Others,1,0,1,0,1,0,1,0,0,0,0,,1969,0,1,2004,0,0,,2,1,1,12,,,2025-01-15 16:02:04,1,293070,93003,50.72676,-3.516369,
1011583,11,11001,2009123,3,0,1,1,21,1,40.0,20.0,3,"Opening times are due to change coming the 1st May 2016.
Monday And Friday - 10am- 8pm.
Tuesday, Wednesday, Friday- 10am-10pm
Weekends- 12noon- 6pm. ",,,,Pay and Play,Public Access,Commercial Management,Commercial,0,1,1,1,1,1,1,1,1,1,0,Have steps going down towards the slopes. ,1972,0,0,,1,0,,2,1,1,12,,,2025-07-30 12:31:08,1,559003,191244,51.5976,0.2942997,
1011583,11,11001,2009124,3,0,1,1,21,1,50.0,20.0,3,"Opening times are due to change coming the 1st May 2016.
Monday And Friday - 10am- 8pm.
Tuesday, Wednesday, Friday- 10am-10pm
Weekends- 12noon- 6pm. ",,,,Pay and Play,Public Access,Commercial Management,Commercial,0,1,1,1,1,1,1,1,1,1,0,Have Steps going down towards the slopes. ,1972,0,0,,1,0,,2,1,1,12,,,2025-07-30 12:31:08,1,559003,191244,51.5976,0.2942997,
1011583,11,11001,2009125,3,0,1,2,21,1,140.0,15.0,3,"Opening times are due to change coming the 1st May 2016.
Monday And Friday - 10am- 8pm.
Tuesday, Wednesday, Friday- 10am-10pm
Weekends- 12noon- 6pm. ",,,,Pay and Play,Public Access,Commercial Management,Commercial,0,1,1,1,1,1,1,1,1,1,0,Have Steps going down towards the slope. ,1972,0,0,,1,0,,2,1,1,12,,,2025-07-30 12:31:08,1,559003,191244,51.5976,0.2942997,
