Site ID,Facility Type,Facility Subtype,Facility ID,Courts,Surface Type,Overmarked,Overmarked Sports: Basketball,Overmarked Sports: Football,Overmarked Sports: Hockey,Overmarked Sports: Netball,Overmarked Sports: Other Sport,Operational Status Notes,Operational Status,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1011268,4,4004,2021805,2,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Other,Others,1,1,1,1,1,1,1,1,1,1,0,,1996,0,,1,0,,2,1,1,12,,,2025-09-01 15:39:08,1,475096,425248,53.71827,-0.8635263,
1011269,4,4002,2021806,3,3,2,2,2,2,2,2,courts have floodlights. ,3,,,,Pay and Play,Public Access,Other,Others,0,0,0,0,0,1,0,0,0,0,0,,2004,0,,1,0,,2,1,1,12,,,2025-09-03 07:12:31,1,538246,192100,51.61077,-0.004835234,
1011271,4,4004,2021808,2,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,Parking: 2 Designated Bays,2003,0,,1,0,,2,1,1,12,,,2025-05-22 11:11:13,1,300691,81841,50.62777,-3.405428,
1011271,4,4004,2021809,4,1,2,2,2,2,2,2,,3,,1995-03-03,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,Parking: 2 Designated Bays,1995,1,2023,1,0,,2,1,1,12,,,2025-05-22 11:11:13,1,300691,81841,50.62777,-3.405428,
1011272,4,4004,2021810,6,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Industry Sports Club,Others,1,1,1,1,1,0,1,1,1,1,0,"Finding/Reaching Entrance: Ramps, Lifts",2002,0,,1,0,,2,1,1,12,,,2025-04-30 08:41:59,1,524957,180064,51.50571,-0.2009261,
1011273,4,4002,2021811,2,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,0,0,0,0,0,0,0,0,0,0,0,,1993,1,2010,1,1,2009,2,2,10,3,,,2025-03-12 15:09:31,1,470082,176231,51.48071,-0.9921732,
1011280,4,4004,2021818,1,3,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,1,1,1,1,1,0,0,0,0,,1965,0,,1,1,2006,2,1,1,12,,,2025-02-14 13:44:31,1,460174,99072,50.78809,-1.147705,
1001674,4,4002,2025988,3,4,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1999,0,,1,1,2014,2,1,1,12,,,2024-11-01 09:00:35,1,342345,398316,53.47841,-2.870191,
1003149,4,4004,2026011,2,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2004,0,,1,0,,2,1,1,12,,,2025-07-29 12:02:21,1,548209,257282,52.19387,0.1669571,
1003149,4,4004,2026012,6,5,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2004,0,,1,0,,2,1,1,12,,,2025-07-29 12:02:21,1,548209,257282,52.19387,0.1669571,
